,Postcode,Baths,Population,Count_School,Count_Station,Bedrooms,Pred_2023,Pred_2024,Pred_2025,Weekly Rental Price,rate_2023,rate_2024,rate_2025
145,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
146,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
147,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
148,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
149,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,550.0,2.3110322709517046,0.0,0.0
150,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,370.0,3.9218047270903718,0.0,0.0
151,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,370.0,3.9218047270903718,0.0,0.0
152,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,370.0,3.9218047270903718,0.0,0.0
153,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,370.0,3.9218047270903718,0.0,0.0
154,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,370.0,3.9218047270903718,0.0,0.0
160,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,600.0,2.0351129150390626,0.0,0.0
161,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,600.0,2.0351129150390626,0.0,0.0
162,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,600.0,2.0351129150390626,0.0,0.0
163,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,600.0,2.0351129150390626,0.0,0.0
164,3000,1,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,600.0,2.0351129150390626,0.0,0.0
165,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,500.0,2.642135498046875,0.0,0.0
166,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,500.0,2.642135498046875,0.0,0.0
167,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,500.0,2.642135498046875,0.0,0.0
168,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,500.0,2.642135498046875,0.0,0.0
169,3000,2,34652.148872180405,4.0,45.0,2,1821.0677,1821.0677,1821.0677,500.0,2.642135498046875,0.0,0.0
