geo_point_2d,geo_shape,projection,stop_id,stop_name,latitude,longitude,routeussp,ticketzone,postcode,suburb_name,ward_name,easting,northing,gisfid,fme_feature_type,googlemaps_drive_to
"-38.0786220454, 145.363368925","{""coordinates"": [145.363368925, -38.0786220454], ""type"": ""Point""}",MGA zone 55,27955,Grices Rd/Soldiers Rd (Clyde North),-38.078622045419000,145.36336892502500,889,,3978,CLYDE NORTH,EDRINGTON,356456,5784197,1176,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.078622045419024,145.36336892502464/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0820689955, 145.3714559824","{""coordinates"": [145.3714559824, -38.0820689955], ""type"": ""Point""}",MGA zone 55,27961,Treefern Lane/Skylark Bvd (Clyde North),-38.08206899546480,145.3714559823950,889,,3978,CLYDE NORTH,EDRINGTON,357173,5783827,1182,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.08206899546476,145.3714559823945/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0213000549, 145.2994369238","{""coordinates"": [145.2994369238, -38.0213000549], ""type"": ""Point""}",MGA zone 55,4223,Casey Aquatic & Recreation Centre/Princes Hwy (Narre Warren),-38.02130005489360,145.2994369237730,"891,828",2,3805,NARRE WARREN,SPRINGFIELD,350732,5790457,1186,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.02130005489357,145.2994369237733/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0173370284, 145.294004191","{""coordinates"": [145.294004191, -38.0173370284], ""type"": ""Point""}",MGA zone 55,4224,Fountain Gate Tennis Club/Princes Hwy (Narre Warren),-38.01733702841810,145.2940041909910,"891,828",2,3805,NARRE WARREN,SPRINGFIELD,350248,5790888,1187,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.01733702841811,145.2940041909914/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0139769839, 145.2891268713","{""coordinates"": [145.2891268713, -38.0139769839], ""type"": ""Point""}",MGA zone 55,4225,Tinks Rd/Princes Hwy (Narre Warren),-38.013976983937000,145.28912687125800,828,2,3805,NARRE WARREN,SPRINGFIELD,349812,5791253,1188,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.013976983936985,145.28912687125833/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0116329795, 145.2841239055","{""coordinates"": [145.2841239055, -38.0116329795], ""type"": ""Point""}",MGA zone 55,4226,Hinrichsen Dr/Princes Hwy (Hallam),-38.01163297954980,145.28412390553300,828,2,3803,HALLAM,RIVER GUM,349368,5791505,1189,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.01163297954983,145.28412390553322/@your+location,17z/data=!4m2!4m1!3e0"
"-38.0043680133, 145.2735652452","{""coordinates"": [145.2735652452, -38.0043680133], ""type"": ""Point""}",MGA zone 55,4228,Princes Hwy/Belgrave-Hallam Rd (Hallam),-38.004368013279600,145.27356524518000,"863,828",2,3803,HALLAM,RIVER GUM,348427,5792294,1191,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.004368013279596,145.27356524518018/@your+location,17z/data=!4m2!4m1!3e0"
"-38.000161966, 145.2614551694","{""coordinates"": [145.2614551694, -38.000161966], ""type"": ""Point""}",MGA zone 55,4233,Hallam Senior Sec Col/Frawley Rd (Hallam),-38.00016196596530,145.26145516943400,828,2,3803,HALLAM,RIVER GUM,347355,5792740,1196,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-38.00016196596525,145.26145516943367/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9975699658, 145.2550250992","{""coordinates"": [145.2550250992, -37.9975699658], ""type"": ""Point""}",MGA zone 55,4235,Hallam Community Centre/Frawley Rd (Hallam),-37.99756996579780,145.25502509918400,828,2,3803,HALLAM,RIVER GUM,346785,5793018,1198,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.99756996579777,145.25502509918434/@your+location,17z/data=!4m2!4m1!3e0"
"-37.9955639882, 145.2443450262","{""coordinates"": [145.2443450262, -37.9955639882], ""type"": ""Point""}",MGA zone 55,4238,Paperbark St/Frawley Rd (Doveton),-37.995563988156800,145.24434502615500,828,2,3177,DOVETON,RIVER GUM,345843,5793222,1200,Transport.Bus_Stop_Metro_Pt_PTV,"https://www.google.com.au/maps/dir//-37.995563988156796,145.24434502615543/@your+location,17z/data=!4m2!4m1!3e0"
